raw_content,gold,xlm_pred,mbert_pred,vader_trans,error_cats
फ्लाईट से #MSDhoni  का वीडियो हुआ वायरल गेम खेलते नजर आये धोनी एयरहोस्टेस  ने धोनी को दिया चॉकलेट और पकडे एक चिट्ठी साथ में साक्षी धोनी भी आई नजर..  #ViralVideos #MSDhoni𓃵  #SakshiMalik #asiannews #IPL #CricketTwitter #airhostess https://t.co/3zeahPtVUT,neutral,neutral,negative,positive,code_mixed|long_complex
Boxer Vijender Singh's drug test report expected today http://t.co/JJNhn3icCu,neutral,neutral,positive,neutral,other
"106/2 27 Overs
Need 123 To Win Off 23 Overs.

Harmanpreet Kaur 39(60) &amp; Punam Raut 45(69) Batting Sensibly🙏🏾
#INDvENG #INDvsENG #WWC17Final",positive,positive,negative,positive,emoji_dependent
"💬🇩🇪 Do you want to #LearnGerman?

❗💡 Here's everything you need to know about:

👍 Tips for learning
💬 German you need ...
🏗️ 📘 ... at work or at university ...

... and all kinds of different German #vocabulary.

#GermanLanguage #Languagelearning
https://t.co/MK3O1GAPWn",neutral,neutral,positive,positive,emoji_dependent|long_complex
"ہور کچھ میرے لائق، نام یاد رکھیے گا، آصف علی

Hor Kch Mere Laik ? Remember The Name Asif Ali | Babar Azam Ne Virat Kohli Ko Pechy Chor Dia 

#PublicNewsLive #PublicNews  
#PakvsAfg  #CongratulationsPakistan, #MehngaPakistanNaManzoor 
#AsifAli #T20WorldCup https://t.co/zgicOSrjol",negative,positive,negative,neutral,long_complex
@BCCI @ICC @BBCHindi @BBCWorld @BBCBreaking @cnnbrk @cnni @khaleejtimes @ndtvindia @ANI @prempratap04 @cricketworldcup #Cricket Virat Kohli #INDvNZ,neutral,neutral,negative,neutral,other
"Delhi Police has informed a court that the supplementary charge sheet in the Chhatrasal Stadium murder case involving Olympic medallist wrestler Sushil Kumar will be filed soon

https://t.co/m52PpJqzWD",negative,neutral,negative,negative,other
"#T20WorldCup : पाकिस्तान ने शुक्रवार को दुबई में खेले गए #PakvsAfg मुकाबले में जीत दर्ज कर सीरीज़ में लगातार तीसरी जीत अपने नाम की। इस जीत में कप्तान #BabarAzam ने 51 रन बनाए और भारतीय कप्तान #ViratKohli का रिकॉर्ड तोड़ते हुए टी20 इंटरनेशनल में 1000 रन पूरे किए।
#NewsTakCard https://t.co/2kyJV19kRz",positive,positive,neutral,positive,code_mixed|long_complex
2022 में ब्रजभूषण की प्रशंसा कर रही थी 2023 में धरने पर बेठ गयी नौटंकी @SakshiMalik  यदि कई वर्षों से दुष्कर्म कर रहा हें ब्रजभूषण तो 2022 में उसकी प्रशंसा क्यों कर रही थी https://t.co/5GHYy6RjbU,negative,negative,neutral,positive,code_mixed|long_complex
"A cricket lover in #Rawalpindi - @msdhoni fan in the stadium during a domestic match - nobody labelled him a traitor, this is what cricket teaches us. Love, respect and peace! https://t.co/vVtnSbQoQk",positive,negative,positive,positive,long_complex
"@IndianBoxOff Applying same logic as yours, Top 8 Indian batsmen of all time (batting skills wise):

1. Ashish Nehra
2. Sachin Tendulkar
3. MS Dhoni
4. Rishabh Pant
5. Virat Kohli
6. Rohit Sharma
7. Virender Sehwag
8. Kapil Dev",positive,neutral,positive,positive,long_complex
"Pamer Lekuk Tubuh, Pesona Sakshi Malik Bikin Jatuh Hati https://t.co/KZekXf0zWk",positive,positive,negative,positive,other
Cricketer Harmanpreet Kaur Offered DSP Post By Punjab Chief Minister Amarinder Singh {EVERY SHOT YIELDED RESULT}https://t.co/fqEFnNj2cm,positive,neutral,negative,neutral,other
@Shailendra97S @Phogat_Vinesh @BajrangPunia @SakshiMalik Panchayat me kaun ayega Rakesh tikait 🤣🤣🤣wo insaaf krega ab 😃😃,negative,neutral,negative,positive,emoji_dependent
"Government writes to AIBA, requests leniency for Sarita Devi:  http://t.co/SbdboCh4bd",positive,neutral,negative,neutral,sarcasm_irony
India Olympic boxer takes dope test: India's Olympics medal-winning boxer Vijender Singh takes a dope test aft... http://t.co/7K2Y5MbRBh,negative,positive,negative,neutral,other
@RCBTweets @CoachHesson Happy Birthday Sir management sir please Sold Now'Ander Fletcher Best'man opener man And M start Ky jomesan Sold And Return RCB Teames Virat Kohli 2 AB DE Villiers Big Boss Spider man🕷️🕷️🕷️🕷️ Gelan Maxwell Divdat Padikal retain RCB Teames,positive,positive,negative,positive,emoji_dependent|long_complex
Boxer Vijender Singh should be in lab for 24 hours: Cops http://t.co/DofaI0BwNb,negative,neutral,negative,neutral,other
"సచిన్ టెండూల్కర్ చొరవతోనే.. 
https://t.co/kKOFbI2Q6k
#HarmanpreetKaur #DianaEdulji https://t.co/rUWG566HuH",positive,neutral,positive,neutral,other
